cycle,alive,total_births,total_deaths,total_food,avg_energy,max_energy,min_energy,avg_children,max_children
1,3,0,0,34485.75,1499.8499999999997,1499.85,1499.85,0.0,0
201,32,61,31,2.1316062e+06,81.0791,242.69543,19.73759,1.46875,4
401,25,61,38,4.228753e+06,68.27012,213.05646,12.082911,1.24,4
601,15,61,48,6.3259485e+06,75.73779,183.42747,48.445763,2.0,4
801,15,61,48,8.423144e+06,46.00192,153.7885,18.445631,2.0,4
1001,3,61,60,1.0520341e+07,123.024864,124.34935,122.362625,4.0,4
1201,3,61,60,1.2617536e+07,94.38123,98.41907,92.36232,4.0,4
1401,3,61,60,1.4714732e+07,65.700935,72.378784,62.362015,4.0,4
1601,3,61,60,1.6811932e+07,37.02064,46.3385,32.36171,4.0,4
1801,3,61,60,1.8909128e+07,8.377305,20.40839,2.361764,4.0,4
